Date,Temp,PrevTemp
101,7.6,11.5
102,11.5,13.5
103,13.5,13.0
104,13.0,13.3
105,13.3,12.1
106,12.1,12.4
107,12.4,13.2
108,13.2,13.8
109,13.8,10.6
110,10.6,9.0
111,9.0,10.0
112,10.0,9.8
113,9.8,11.5
114,11.5,8.9
115,8.9,7.4
116,7.4,9.9
117,9.9,9.3
118,9.3,9.9
119,9.9,7.4
120,7.4,8.6
121,8.6,11.9
122,11.9,14.0
123,14.0,8.6
124,8.6,10.0
125,10.0,13.5
126,13.5,12.0
127,12.0,10.5
128,10.5,10.7
129,10.7,8.1
130,8.1,10.1
131,10.1,10.6
132,10.6,5.3
133,5.3,6.6
134,6.6,8.5
135,8.5,11.2
136,11.2,9.8
137,9.8,5.9
138,5.9,3.2
139,3.2,2.1
140,2.1,3.4
141,3.4,5.4
142,5.4,9.6
143,9.6,11.5
144,11.5,12.3
145,12.3,12.6
146,12.6,11.0
147,11.0,11.2
148,11.2,11.4
149,11.4,11.8
150,11.8,12.8
151,12.8,11.6
152,11.6,10.6
153,10.6,9.8
154,9.8,11.2
155,11.2,5.7
156,5.7,7.1
157,7.1,2.5
158,2.5,3.5
159,3.5,4.6
160,4.6,11.0
161,11.0,5.7
162,5.7,7.7
163,7.7,10.4
164,10.4,11.4
165,11.4,9.2
166,9.2,6.1
167,6.1,2.7
168,2.7,4.3
169,4.3,6.3
170,6.3,3.8
171,3.8,4.4
172,4.4,7.1
173,7.1,4.8
174,4.8,5.8
175,5.8,6.2
176,6.2,7.3
177,7.3,9.2
178,9.2,10.2
179,10.2,9.5
180,9.5,9.5
181,9.5,10.7
182,10.7,10.0
183,10.0,6.5
184,6.5,7.0
185,7.0,7.4
186,7.4,8.1
187,8.1,6.6
188,6.6,8.3
189,8.3,8.9
190,8.9,4.6
191,4.6,6.8
192,6.8,5.7
193,5.7,6.1
194,6.1,7.0
195,7.0,7.2
196,7.2,6.3
197,6.3,8.8
198,8.8,5.0
199,5.0,7.4
200,7.4,10.1
201,10.1,12.0
202,12.0,9.0
203,9.0,8.9
204,8.9,9.8
205,9.8,9.0
206,9.0,9.2
207,9.2,7.7
208,7.7,8.0
209,8.0,6.1
210,6.1,3.5
211,3.5,3.2
212,3.2,5.7
213,5.7,7.7
214,7.7,9.0
215,9.0,10.0
216,10.0,6.2
217,6.2,6.9
218,6.9,6.5
219,6.5,6.8
220,6.8,7.0
221,7.0,5.2
222,5.2,3.0
223,3.0,5.6
224,5.6,7.9
225,7.9,9.0
226,9.0,8.6
227,8.6,10.3
228,10.3,10.5
229,10.5,7.6
230,7.6,9.7
231,9.7,12.5
232,12.5,7.4
233,7.4,7.9
234,7.9,3.9
235,3.9,6.6
236,6.6,4.6
237,4.6,7.0
238,7.0,6.0
239,6.0,5.5
240,5.5,8.1
241,8.1,5.5
242,5.5,6.2
243,6.2,8.0
244,8.0,10.3
245,10.3,9.8
246,9.8,9.6
247,9.6,8.5
248,8.5,7.5
249,7.5,11.2
250,11.2,14.6
251,14.6,11.7
252,11.7,7.8
253,7.8,12.3
254,12.3,10.1
255,10.1,11.5
256,11.5,7.3
257,7.3,10.9
258,10.9,14.1
259,14.1,10.7
260,10.7,16.9
261,16.9,10.5
262,10.5,6.5
263,6.5,11.0
264,11.0,6.3
265,6.3,10.5
266,10.5,7.2
267,7.2,7.6
268,7.6,10.7
269,10.7,7.8
270,7.8,9.6
271,9.6,11.4
272,11.4,12.4
273,12.4,8.9
274,8.9,13.2
275,13.2,8.6
276,8.6,6.2
277,6.2,11.4
278,11.4,13.2
279,13.2,14.3
280,14.3,7.3
281,7.3,12.9
282,12.9,7.8
283,7.8,6.2
284,6.2,5.6
285,5.6,10.0
286,10.0,13.3
287,13.3,8.3
288,8.3,10.2
289,10.2,8.6
290,8.6,7.3
291,7.3,10.4
292,10.4,11.2
293,11.2,13.2
294,13.2,11.4
295,11.4,9.1
296,9.1,6.6
297,6.6,8.4
298,8.4,9.7
299,9.7,13.2
300,13.2,12.5
301,12.5,11.0
302,11.0,11.0
303,11.0,11.7
304,11.7,9.2
305,9.2,11.5
306,11.5,13.6
307,13.6,13.7
308,13.7,10.4
309,10.4,11.5
310,11.5,7.6
311,7.6,9.6
312,9.6,14.2
313,14.2,15.7
314,15.7,10.5
315,10.5,10.5
316,10.5,9.7
317,9.7,9.5
318,9.5,11.3
319,11.3,8.9
320,8.9,9.4
321,9.4,11.9
322,11.9,11.7
323,11.7,13.4
324,13.4,12.6
325,12.6,10.1
326,10.1,15.8
327,15.8,13.6
328,13.6,11.9
329,11.9,9.9
330,9.9,12.6
331,12.6,17.8
332,17.8,15.0
333,15.0,13.6
334,13.6,13.4
335,13.4,10.5
336,10.5,14.2
337,14.2,11.5
338,11.5,13.0
339,13.0,15.0
340,15.0,14.7
341,14.7,12.6
342,12.6,12.5
343,12.5,13.5
344,13.5,14.8
345,14.8,17.2
346,17.2,9.7
347,9.7,12.1
348,12.1,12.8
349,12.8,11.2
350,11.2,16.4
351,16.4,15.6
352,15.6,13.3
353,13.3,11.0
354,11.0,11.1
355,11.1,15.0
356,15.0,12.8
357,12.8,15.0
358,15.0,14.2
359,14.2,14.0
360,14.0,15.5
361,15.5,13.3
362,13.3,15.6
363,15.6,15.2
364,15.2,17.4
365,17.4,17.0
366,17.0,15.0
367,15.0,13.5
368,13.5,15.2
369,15.2,13.0
370,13.0,12.5
371,12.5,14.1
372,14.1,14.8
373,14.8,16.2
374,16.2,15.8
375,15.8,19.1
376,19.1,22.2
377,22.2,15.9
378,15.9,13.0
379,13.0,14.1
380,14.1,15.8
381,15.8,24.0
382,24.0,18.0
383,18.0,19.7
384,19.7,25.2
385,25.2,20.5
386,20.5,19.3
387,19.3,15.8
388,15.8,17.0
389,17.0,18.4
390,18.4,13.3
391,13.3,14.6
392,14.6,12.5
393,12.5,17.0
394,17.0,17.1
395,17.1,14.0
396,14.0,14.6
397,14.6,13.3
398,13.3,14.8
399,14.8,15.1
400,15.1,13.1
401,13.1,13.6
402,13.6,19.5
403,19.5,22.7
404,22.7,17.2
405,17.2,13.5
406,13.5,15.4
407,15.4,17.0
408,17.0,19.2
409,19.2,22.8
410,22.8,26.3
411,26.3,18.2
412,18.2,17.0
413,17.0,14.8
414,14.8,12.8
415,12.8,15.5
416,15.5,15.6
417,15.6,13.1
418,13.1,15.2
419,15.2,14.1
420,14.1,12.5
421,12.5,14.6
422,14.6,10.4
423,10.4,13.9
424,13.9,11.9
425,11.9,13.5
426,13.5,9.8
427,9.8,14.0
428,14.0,21.5
429,21.5,19.5
430,19.5,16.7
431,16.7,19.1
432,19.1,11.0
433,11.0,9.0
434,9.0,10.0
435,10.0,14.6
436,14.6,12.5
437,12.5,17.2
438,17.2,19.2
439,19.2,22.2
440,22.2,15.7
441,15.7,14.2
442,14.2,9.8
443,9.8,14.0
444,14.0,17.5
445,17.5,20.7
446,20.7,15.6
447,15.6,13.2
448,13.2,14.5
449,14.5,16.8
450,16.8,17.2
451,17.2,13.4
452,13.4,14.2
453,14.2,14.3
454,14.3,10.2
455,10.2,10.4
456,10.4,12.3
457,12.3,11.9
458,11.9,11.2
459,11.2,8.5
460,8.5,12.0
461,12.0,12.4
462,12.4,12.9
463,12.9,10.1
464,10.1,15.0
465,15.0,13.6
466,13.6,12.4
467,12.4,13.6
468,13.6,16.1
469,16.1,19.5
470,19.5,14.2
471,14.2,9.3
472,9.3,10.1
473,10.1,7.4
474,7.4,8.6
475,8.6,7.8
476,7.8,9.1
477,9.1,13.0
478,13.0,16.5
479,16.5,12.9
480,12.9,6.9
481,6.9,6.9
482,6.9,8.7
483,8.7,10.0
484,10.0,10.8
485,10.8,7.5
486,7.5,6.3
487,6.3,11.9
488,11.9,13.8
489,13.8,11.8
490,11.8,11.0
491,11.0,10.1
492,10.1,8.5
493,8.5,5.5
494,5.5,7.6
495,7.6,8.7
496,8.7,10.8
497,10.8,11.2
498,11.2,9.1
499,9.1,3.7
500,3.7,4.6
501,4.6,6.6
502,6.6,13.2
503,13.2,15.2
504,15.2,7.6
505,7.6,8.4
506,8.4,6.0
507,6.0,8.3
508,8.3,8.6
509,8.6,11.1
510,11.1,12.1
511,12.1,12.9
512,12.9,14.0
513,14.0,12.5
514,12.5,11.5
515,11.5,7.0
516,7.0,7.1
517,7.1,9.0
518,9.0,3.1
519,3.1,2.5
520,2.5,0.0
521,0.0,1.6
522,1.6,2.6
523,2.6,5.7
524,5.7,2.3
525,2.3,4.5
526,4.5,8.2
527,8.2,6.9
528,6.9,7.3
529,7.3,6.0
530,6.0,7.3
531,7.3,7.6
532,7.6,8.0
533,8.0,8.0
534,8.0,6.8
535,6.8,7.3
536,7.3,6.2
537,6.2,6.9
538,6.9,8.9
539,8.9,4.0
540,4.0,1.3
541,1.3,0.8
542,0.8,4.3
543,4.3,7.3
544,7.3,7.7
545,7.7,9.0
546,9.0,4.2
547,4.2,1.6
548,1.6,2.6
549,2.6,3.4
550,3.4,3.9
551,3.9,7.0
552,7.0,7.8
553,7.8,5.3
554,5.3,2.4
555,2.4,2.8
556,2.8,4.0
557,4.0,7.5
558,7.5,7.8
559,7.8,5.6
560,5.6,3.3
561,3.3,5.0
562,5.0,3.7
563,3.7,3.9
564,3.9,5.2
565,5.2,0.2
566,0.2,0.8
567,0.8,0.9
568,0.9,3.5
569,3.5,6.6
570,6.6,9.5
571,9.5,9.0
572,9.0,3.5
573,3.5,4.5
574,4.5,5.7
575,5.7,5.6
576,5.6,7.1
577,7.1,9.7
578,9.7,8.3
579,8.3,9.1
580,9.1,2.8
581,2.8,2.2
582,2.2,4.5
583,4.5,3.8
584,3.8,3.8
585,3.8,6.2
586,6.2,11.5
587,11.5,10.2
588,10.2,7.9
589,7.9,9.0
590,9.0,9.5
591,9.5,6.0
592,6.0,8.2
593,8.2,9.2
594,9.2,4.3
595,4.3,6.6
596,6.6,9.4
597,9.4,13.2
598,13.2,6.6
599,6.6,5.1
600,5.1,12.1
601,12.1,11.2
602,11.2,8.5
603,8.5,4.6
604,4.6,7.0
605,7.0,14.2
606,14.2,12.7
607,12.7,7.6
608,7.6,4.0
609,4.0,10.0
610,10.0,10.5
611,10.5,5.0
612,5.0,4.5
613,4.5,8.2
614,8.2,4.3
615,4.3,9.8
616,9.8,5.8
617,5.8,5.0
618,5.0,8.5
619,8.5,9.0
620,9.0,3.6
621,3.6,6.7
622,6.7,6.7
623,6.7,10.1
624,10.1,15.0
625,15.0,8.9
626,8.9,5.7
627,5.7,4.2
628,4.2,4.0
629,4.0,5.3
630,5.3,6.3
631,6.3,8.5
632,8.5,11.5
633,11.5,7.7
634,7.7,9.2
635,9.2,7.8
636,7.8,6.3
637,6.3,6.3
638,6.3,8.6
639,8.6,6.1
640,6.1,13.2
641,13.2,9.9
642,9.9,4.7
643,4.7,5.8
644,5.8,14.9
645,14.9,10.7
646,10.7,8.6
647,8.6,9.4
648,9.4,5.7
649,5.7,10.9
650,10.9,13.1
651,13.1,10.4
652,10.4,8.2
653,8.2,9.8
654,9.8,7.5
655,7.5,5.8
656,5.8,9.8
657,9.8,7.9
658,7.9,8.7
659,8.7,10.0
660,10.0,10.6
661,10.6,8.0
662,8.0,10.2
663,10.2,15.1
664,15.1,13.9
665,13.9,9.2
666,9.2,9.0
667,9.0,13.2
668,13.2,7.0
669,7.0,10.6
670,10.6,6.9
671,6.9,9.5
672,9.5,12.5
673,12.5,13.6
674,13.6,17.7
675,17.7,16.0
676,16.0,11.3
677,11.3,10.5
678,10.5,14.4
679,14.4,10.3
680,10.3,9.0
681,9.0,11.1
682,11.1,14.5
683,14.5,18.0
684,18.0,12.8
685,12.8,10.7
686,10.7,9.1
687,9.1,8.7
688,8.7,12.4
689,12.4,12.6
690,12.6,10.3
691,10.3,13.7
692,13.7,16.0
693,16.0,15.8
694,15.8,12.1
695,12.1,12.5
696,12.5,12.2
697,12.2,13.7
698,13.7,16.1
699,16.1,15.5
700,15.5,10.3
701,10.3,10.5
702,10.5,11.0
703,11.0,11.9
704,11.9,13.0
705,13.0,12.2
706,12.2,10.6
707,10.6,13.0
708,13.0,13.0
709,13.0,12.2
710,12.2,12.6
711,12.6,18.7
712,18.7,15.2
713,15.2,15.3
714,15.3,13.9
715,13.9,15.8
716,15.8,13.0
717,13.0,13.0
718,13.0,13.7
719,13.7,12.0
720,12.0,10.8
721,10.8,15.6
722,15.6,15.3
723,15.3,13.9
724,13.9,13.0
725,13.0,15.3
726,15.3,16.3
727,16.3,15.8
728,15.8,17.7
729,17.7,16.3
730,16.3,18.4
731,18.4,15.0
732,15.0,10.9
733,10.9,11.4
734,11.4,14.8
735,14.8,12.1
736,12.1,12.8
737,12.8,16.2
738,16.2,15.5
739,15.5,13.0
740,13.0,10.5
741,10.5,9.1
742,9.1,10.5
743,10.5,11.8
744,11.8,12.7
745,12.7,12.7
746,12.7,11.5
747,11.5,13.8
748,13.8,13.3
749,13.3,11.6
750,11.6,15.4
751,15.4,12.4
752,12.4,16.9
753,16.9,14.7
754,14.7,10.6
755,10.6,15.6
756,15.6,10.7
757,10.7,12.6
758,12.6,13.8
759,13.8,14.3
760,14.3,14.0
761,14.0,18.1
762,18.1,17.3
763,17.3,13.0
764,13.0,16.0
765,16.0,14.9
766,14.9,16.2
767,16.2,20.3
768,20.3,22.5
769,22.5,17.2
770,17.2,15.9
771,15.9,16.8
772,16.8,13.8
773,13.8,12.8
774,12.8,14.0
775,14.0,17.5
776,17.5,21.5
777,21.5,16.8
778,16.8,13.6
779,13.6,14.5
780,14.5,14.2
781,14.2,15.7
782,15.7,19.7
783,19.7,17.4
784,17.4,14.4
785,14.4,16.9
786,16.9,19.1
787,19.1,20.4
788,20.4,20.1
789,20.1,19.9
790,19.9,22.0
791,22.0,20.5
792,20.5,22.1
793,22.1,20.6
794,20.6,15.0
795,15.0,20.6
796,20.6,21.5
797,21.5,16.2
798,16.2,14.1
799,14.1,14.5
800,14.5,21.1
801,21.1,15.9
802,15.9,15.2
803,15.2,13.1
804,13.1,13.2
805,13.2,12.5
806,12.5,15.2
807,15.2,17.6
808,17.6,15.5
809,15.5,16.7
810,16.7,16.3
811,16.3,15.1
812,15.1,12.7
813,12.7,10.0
814,10.0,11.4
815,11.4,12.6
816,12.6,10.7
817,10.7,10.0
818,10.0,13.9
819,13.9,13.4
820,13.4,12.5
821,12.5,12.8
822,12.8,7.8
823,7.8,11.1
824,11.1,10.7
825,10.7,7.1
826,7.1,6.7
827,6.7,5.7
828,5.7,9.1
829,9.1,15.2
830,15.2,15.5
831,15.5,11.1
832,11.1,11.7
833,11.7,11.5
834,11.5,9.8
835,9.8,6.2
836,6.2,6.7
837,6.7,7.5
838,7.5,8.8
839,8.8,8.0
840,8.0,10.4
841,10.4,14.5
842,14.5,16.5
843,16.5,14.1
844,14.1,10.5
845,10.5,12.6
846,12.6,13.0
847,13.0,8.7
848,8.7,10.1
849,10.1,12.0
850,12.0,12.5
851,12.5,13.5
852,13.5,13.7
853,13.7,13.5
854,13.5,10.7
855,10.7,13.0
856,13.0,11.6
857,11.6,13.0
858,13.0,11.2
859,11.2,13.5
860,13.5,12.9
861,12.9,6.8
862,6.8,10.0
863,10.0,14.5
864,14.5,11.7
865,11.7,6.7
866,6.7,4.6
867,4.6,4.9
868,4.9,7.4
869,7.4,8.3
870,8.3,7.5
871,7.5,6.2
872,6.2,7.8
873,7.8,13.2
874,13.2,11.9
875,11.9,6.5
876,6.5,8.3
877,8.3,12.1
878,12.1,9.3
879,9.3,7.5
880,7.5,9.3
881,9.3,11.0
882,11.0,10.8
883,10.8,5.3
884,5.3,7.6
885,7.6,5.6
886,5.6,7.2
887,7.2,9.6
888,9.6,7.0
889,7.0,8.3
890,8.3,7.8
891,7.8,4.7
892,4.7,6.8
893,6.8,7.2
894,7.2,8.3
895,8.3,9.5
896,9.5,4.7
897,4.7,3.0
898,3.0,1.5
899,1.5,2.5
900,2.5,6.2
901,6.2,11.6
902,11.6,6.6
903,6.6,6.6
904,6.6,8.0
905,8.0,7.9
906,7.9,3.3
907,3.3,3.9
908,3.9,6.0
909,6.0,4.0
910,4.0,5.5
911,5.5,8.5
912,8.5,9.8
913,9.8,9.5
914,9.5,7.2
915,7.2,8.1
916,8.1,8.0
917,8.0,8.5
918,8.5,8.8
919,8.8,8.3
920,8.3,2.4
921,2.4,4.9
922,4.9,5.9
923,5.9,6.7
924,6.7,8.4
925,8.4,6.5
926,6.5,7.9
927,7.9,4.1
928,4.1,5.4
929,5.4,7.5
930,7.5,3.9
931,3.9,2.5
932,2.5,5.3
933,5.3,6.6
934,6.6,0.0
935,0.0,0.7
936,0.7,7.6
937,7.6,12.3
938,12.3,9.2
939,9.2,9.6
940,9.6,9.5
941,9.5,10.0
942,10.0,7.7
943,7.7,8.0
944,8.0,8.3
945,8.3,8.3
946,8.3,4.5
947,4.5,6.5
948,6.5,9.4
949,9.4,9.4
950,9.4,10.5
951,10.5,10.7
952,10.7,9.9
953,9.9,7.6
954,7.6,5.8
955,5.8,8.5
956,8.5,13.8
957,13.8,14.3
958,14.3,8.3
959,8.3,5.3
960,5.3,3.0
961,3.0,5.2
962,5.2,10.3
963,10.3,11.1
964,11.1,10.5
965,10.5,9.0
966,9.0,13.0
967,13.0,6.4
968,6.4,8.4
969,8.4,6.7
970,6.7,8.3
971,8.3,11.2
972,11.2,10.0
973,10.0,10.1
974,10.1,10.6
975,10.6,10.9
976,10.9,5.7
977,5.7,9.5
978,9.5,10.4
979,10.4,11.1
980,11.1,12.2
981,12.2,10.6
982,10.6,8.8
983,8.8,9.2
984,9.2,5.5
985,5.5,7.1
986,7.1,6.5
987,6.5,4.3
988,4.3,5.0
989,5.0,11.2
990,11.2,7.5
991,7.5,12.0
992,12.0,13.6
993,13.6,8.3
994,8.3,8.5
995,8.5,12.9
996,12.9,7.7
997,7.7,7.6
998,7.6,3.5
999,3.5,10.4
1000,10.4,15.4
1001,15.4,10.6
1002,10.6,9.6
1003,9.6,9.3
1004,9.3,13.9
1005,13.9,7.7
1006,7.7,9.5
1007,9.5,7.6
1008,7.6,6.9
1009,6.9,6.8
1010,6.8,5.8
1011,5.8,6.0
1012,6.0,8.3
1013,8.3,9.1
1014,9.1,12.5
1015,12.5,13.2
1016,13.2,16.2
1017,16.2,12.5
1018,12.5,11.8
1019,11.8,10.6
1020,10.6,10.0
1021,10.0,12.2
1022,12.2,8.9
1023,8.9,10.3
1024,10.3,7.5
1025,7.5,11.6
1026,11.6,12.6
1027,12.6,12.9
1028,12.9,11.7
1029,11.7,14.0
1030,14.0,12.3
1031,12.3,9.0
1032,9.0,9.2
1033,9.2,9.8
1034,9.8,11.8
1035,11.8,10.6
1036,10.6,12.6
1037,12.6,11.0
1038,11.0,8.2
1039,8.2,7.5
1040,7.5,13.6
1041,13.6,14.8
1042,14.8,10.9
1043,10.9,7.7
1044,7.7,10.2
1045,10.2,10.8
1046,10.8,10.8
1047,10.8,12.5
1048,12.5,13.2
1049,13.2,8.7
1050,8.7,5.7
1051,5.7,9.8
1052,9.8,7.3
1053,7.3,10.8
1054,10.8,10.0
1055,10.0,16.2
1056,16.2,15.0
1057,15.0,14.5
1058,14.5,15.9
1059,15.9,14.9
1060,14.9,14.2
1061,14.2,15.8
1062,15.8,17.2
1063,17.2,17.6
1064,17.6,12.1
1065,12.1,11.4
1066,11.4,13.0
1067,13.0,13.2
1068,13.2,12.0
1069,12.0,15.3
1070,15.3,12.7
1071,12.7,12.1
1072,12.1,13.8
1073,13.8,10.9
1074,10.9,12.0
1075,12.0,16.5
1076,16.5,15.0
1077,15.0,11.2
1078,11.2,13.9
1079,13.9,15.0
1080,15.0,14.8
1081,14.8,15.0
1082,15.0,13.3
1083,13.3,20.4
1084,20.4,18.0
1085,18.0,12.2
1086,12.2,16.7
1087,16.7,13.8
1088,13.8,17.5
1089,17.5,15.0
1090,15.0,13.9
1091,13.9,11.1
1092,11.1,16.1
1093,16.1,20.4
1094,20.4,18.0
1095,18.0,19.5
1096,19.5,17.1
1097,17.1,17.1
1098,17.1,12.0
1099,12.0,11.0
1100,11.0,16.3
1101,16.3,16.1
1102,16.1,13.0
1103,13.0,13.4
1104,13.4,15.2
1105,15.2,12.5
1106,12.5,14.3
1107,14.3,16.5
1108,16.5,18.6
1109,18.6,18.0
1110,18.0,18.2
1111,18.2,11.4
1112,11.4,11.9
1113,11.9,12.2
1114,12.2,14.8
1115,14.8,13.1
1116,13.1,12.7
1117,12.7,10.5
1118,10.5,13.8
1119,13.8,18.8
1120,18.8,13.9
1121,13.9,11.2
1122,11.2,10.6
1123,10.6,14.7
1124,14.7,13.1
1125,13.1,12.1
1126,12.1,14.7
1127,14.7,11.1
1128,11.1,13.0
1129,13.0,15.6
1130,15.6,14.2
1131,14.2,15.5
1132,15.5,18.0
1133,18.0,15.0
1134,15.0,15.9
1135,15.9,15.5
1136,15.5,15.8
1137,15.8,16.6
1138,16.6,13.6
1139,13.6,13.8
1140,13.8,14.6
1141,14.6,15.6
1142,15.6,16.6
1143,16.6,14.3
1144,14.3,16.3
1145,16.3,18.9
1146,18.9,18.7
1147,18.7,14.5
1148,14.5,16.5
1149,16.5,14.1
1150,14.1,13.5
1151,13.5,11.7
1152,11.7,15.1
1153,15.1,11.2
1154,11.2,13.5
1155,13.5,12.6
1156,12.6,8.8
1157,8.8,10.5
1158,10.5,12.1
1159,12.1,14.5
1160,14.5,19.5
1161,19.5,14.0
1162,14.0,13.8
1163,13.8,10.5
1164,10.5,13.8
1165,13.8,11.4
1166,11.4,15.6
1167,15.6,11.1
1168,11.1,12.1
1169,12.1,14.2
1170,14.2,10.9
1171,10.9,14.2
1172,14.2,13.8
1173,13.8,15.1
1174,15.1,14.0
1175,14.0,12.1
1176,12.1,13.8
1177,13.8,16.6
1178,16.6,17.8
1179,17.8,9.4
1180,9.4,10.2
1181,10.2,7.4
1182,7.4,8.7
1183,8.7,14.0
1184,14.0,15.3
1185,15.3,11.1
1186,11.1,9.7
1187,9.7,10.3
1188,10.3,9.2
1189,9.2,8.2
1190,8.2,9.7
1191,9.7,12.4
1192,12.4,12.5
1193,12.5,9.0
1194,9.0,9.7
1195,9.7,10.1
1196,10.1,11.2
1197,11.2,12.0
1198,12.0,11.1
1199,11.1,10.8
1200,10.8,12.8
1201,12.8,9.8
1202,9.8,13.7
1203,13.7,11.0
1204,11.0,13.2
1205,13.2,13.0
1206,13.0,10.2
1207,10.2,13.2
1208,13.2,9.3
1209,9.3,11.1
1210,11.1,10.3
1211,10.3,8.7
1212,8.7,11.7
1213,11.7,12.5
1214,12.5,6.5
1215,6.5,9.6
1216,9.6,13.8
1217,13.8,14.7
1218,14.7,9.1
1219,9.1,4.8
1220,4.8,3.3
1221,3.3,3.5
1222,3.5,5.7
1223,5.7,5.5
1224,5.5,7.0
1225,7.0,9.5
1226,9.5,9.9
1227,9.9,4.9
1228,4.9,6.3
1229,6.3,4.8
1230,4.8,6.2
1231,6.2,7.1
1232,7.1,7.5
1233,7.5,9.4
1234,9.4,8.7
1235,8.7,9.5
1236,9.5,12.1
1237,12.1,9.5
1238,9.5,9.3
1239,9.3,8.5
1240,8.5,8.0
1241,8.0,9.8
1242,9.8,6.2
1243,6.2,7.3
1244,7.3,10.9
1245,10.9,10.0
1246,10.0,8.7
1247,8.7,9.0
1248,9.0,10.8
1249,10.8,12.4
1250,12.4,7.2
1251,7.2,7.2
1252,7.2,11.1
1253,11.1,9.3
1254,9.3,10.1
1255,10.1,3.9
1256,3.9,5.0
1257,5.0,8.2
1258,8.2,2.8
1259,2.8,4.3
1260,4.3,8.1
1261,8.1,11.1
1262,11.1,4.7
1263,4.7,5.3
1264,5.3,10.0
1265,10.0,5.6
1266,5.6,2.2
1267,2.2,7.1
1268,7.1,8.3
1269,8.3,8.6
1270,8.6,10.1
1271,10.1,8.3
1272,8.3,7.2
1273,7.2,7.7
1274,7.7,7.8
1275,7.8,9.1
1276,9.1,9.4
1277,9.4,7.8
1278,7.8,2.6
1279,2.6,2.4
1280,2.4,3.9
1281,3.9,1.3
1282,1.3,2.1
1283,2.1,7.4
1284,7.4,7.2
1285,7.2,8.8
1286,8.8,8.9
1287,8.9,8.8
1288,8.8,8.0
1289,8.0,0.7
1290,0.7,0.1
1291,0.1,0.9
1292,0.9,7.8
1293,7.8,7.2
1294,7.2,8.0
1295,8.0,4.6
1296,4.6,5.2
1297,5.2,5.8
1298,5.8,6.8
1299,6.8,8.1
1300,8.1,7.5
1301,7.5,5.4
1302,5.4,4.6
1303,4.6,6.4
1304,6.4,9.7
1305,9.7,7.0
1306,7.0,10.0
1307,10.0,10.6
1308,10.6,11.5
1309,11.5,10.2
1310,10.2,11.1
1311,11.1,11.0
1312,11.0,8.9
1313,8.9,9.9
1314,9.9,11.7
1315,11.7,11.6
1316,11.6,9.0
1317,9.0,6.3
1318,6.3,8.7
1319,8.7,8.5
1320,8.5,8.5
1321,8.5,8.0
1322,8.0,6.0
1323,6.0,8.0
1324,8.0,8.5
1325,8.5,7.7
1326,7.7,8.4
1327,8.4,9.0
1328,9.0,8.3
1329,8.3,6.8
1330,6.8,9.3
1331,9.3,6.7
1332,6.7,9.0
1333,9.0,7.3
1334,7.3,6.3
1335,6.3,7.9
1336,7.9,5.2
1337,5.2,9.0
1338,9.0,11.3
1339,11.3,9.2
1340,9.2,11.3
1341,11.3,7.0
1342,7.0,8.0
1343,8.0,4.6
1344,4.6,8.5
1345,8.5,9.5
1346,9.5,9.4
1347,9.4,10.5
1348,10.5,9.7
1349,9.7,4.9
1350,4.9,8.0
1351,8.0,5.8
1352,5.8,5.5
1353,5.5,10.9
1354,10.9,11.7
1355,11.7,9.2
1356,9.2,8.9
1357,8.9,11.3
1358,11.3,8.6
1359,8.6,6.2
1360,6.2,6.6
